Country,Year,GDP_Predicted,MAPE,RMSE
Afghanistan,2024,2.510703500606633,12.576820329235067,0.5115069429240233
Afghanistan,2025,3.1447110021342097,12.576820329235067,0.5115069429240233
Afghanistan,2026,3.361647033552036,12.576820329235067,0.5115069429240233
Afghanistan,2027,3.5288618661317286,12.576820329235067,0.5115069429240233
Afghanistan,2028,3.6577514749805293,12.576820329235067,0.5115069429240233
Armenia,2024,4.528775025904896,2.57343811159406,0.21356908256271942
Armenia,2025,4.536733146897671,2.57343811159406,0.21356908256271942
Armenia,2026,4.538934072448353,2.57343811159406,0.21356908256271942
Armenia,2027,4.53954276805427,2.57343811159406,0.21356908256271942
Armenia,2028,4.5397111110227755,2.57343811159406,0.21356908256271942
Azerbaijan,2024,1.9695307723567823,52.29883952320312,1.4240473053744858
Azerbaijan,2025,1.491942870484732,52.29883952320312,1.4240473053744858
Azerbaijan,2026,1.130164382314611,52.29883952320312,1.4240473053744858
Azerbaijan,2027,0.8561128956885468,52.29883952320312,1.4240473053744858
Azerbaijan,2028,0.648515651026948,52.29883952320312,1.4240473053744858
Bahrain,2024,3.450085672804387,29.685422307361186,0.903574978999857
Bahrain,2025,3.7033677320543843,29.685422307361186,0.903574978999857
Bahrain,2026,3.788893697772502,29.685422307361186,0.903574978999857
Bahrain,2027,3.817773322463159,29.685422307361186,0.903574978999857
Bahrain,2028,3.8275251295929618,29.685422307361186,0.903574978999857
Bangladesh,2024,7.486045252740259,8.572898288739077,0.6585656739164105
Bangladesh,2025,7.5695513851256315,8.572898288739077,0.6585656739164105
Bangladesh,2026,7.5510989326675775,8.572898288739077,0.6585656739164105
Bangladesh,2027,7.777856116144897,8.572898288739077,0.6585656739164105
Bangladesh,2028,7.877470268490606,8.572898288739077,0.6585656739164105
Bhutan,2024,6.365055605476929,48.25745591000551,2.121596349224098
Bhutan,2025,6.406288472752618,48.25745591000551,2.121596349224098
Bhutan,2026,6.406288472752618,48.25745591000551,2.121596349224098
Bhutan,2027,6.406288472752618,48.25745591000551,2.121596349224098
Bhutan,2028,6.406288472752618,48.25745591000551,2.121596349224098
Brunei Darussalam,2024,1.8293693025335644,51.19299209195864,1.6042885487887342
Brunei Darussalam,2025,1.395353592327493,51.19299209195864,1.6042885487887342
Brunei Darussalam,2026,1.395353592327493,51.19299209195864,1.6042885487887342
Brunei Darussalam,2027,1.395353592327493,51.19299209195864,1.6042885487887342
Brunei Darussalam,2028,1.395353592327493,51.19299209195864,1.6042885487887342
Cambodia,2024,6.022926834064987,6.956643053559401,0.46974106096484475
Cambodia,2025,5.898716164402076,6.956643053559401,0.46974106096484475
Cambodia,2026,5.8430330728762545,6.956643053559401,0.46974106096484475
Cambodia,2027,5.818070590262742,6.956643053559401,0.46974106096484475
Cambodia,2028,5.806880020178448,6.956643053559401,0.46974106096484475
China People's Republic of,2024,3.4,12.414634146341463,0.648074069840786
China People's Republic of,2025,3.4,12.414634146341463,0.648074069840786
China People's Republic of,2026,3.4,12.414634146341463,0.648074069840786
China People's Republic of,2027,3.4,12.414634146341463,0.648074069840786
China People's Republic of,2028,3.4,12.414634146341463,0.648074069840786
Georgia,2024,4.012877313252293,37.00058922182747,1.9737876411622957
Georgia,2025,3.2301924759457803,37.00058922182747,1.9737876411622957
Georgia,2026,2.9920873068655647,37.00058922182747,1.9737876411622957
Georgia,2027,2.9920873068655647,37.00058922182747,1.9737876411622957
Georgia,2028,2.9920873068655647,37.00058922182747,1.9737876411622957
Hong Kong SAR,2024,2.217864385975832,21.69644242096675,0.6398849289030245
Hong Kong SAR,2025,2.217864385975832,21.69644242096675,0.6398849289030245
Hong Kong SAR,2026,2.217864385975832,21.69644242096675,0.6398849289030245
Hong Kong SAR,2027,2.217864385975832,21.69644242096675,0.6398849289030245
Hong Kong SAR,2028,2.217864385975832,21.69644242096675,0.6398849289030245
India,2024,6.091836734693877,1.6487592241701396,0.11997153626049413
India,2025,6.091836734693877,1.6487592241701396,0.11997153626049413
India,2026,6.091836734693877,1.6487592241701396,0.11997153626049413
India,2027,6.091836734693877,1.6487592241701396,0.11997153626049413
India,2028,6.091836734693877,1.6487592241701396,0.11997153626049413
Indonesia,2024,5.205751583943992,4.88229255629931,0.25418382022450964
Indonesia,2025,5.279223778900081,4.88229255629931,0.25418382022450964
Indonesia,2026,5.279223778900081,4.88229255629931,0.25418382022450964
Indonesia,2027,5.279223778900081,4.88229255629931,0.25418382022450964
Indonesia,2028,5.279223778900081,4.88229255629931,0.25418382022450964
Iran,2024,2.6051676141263305,27.789428944387772,0.5739029919575731
Iran,2025,2.794963964231123,27.789428944387772,0.5739029919575731
Iran,2026,2.5511983954383375,27.789428944387772,0.5739029919575731
Iran,2027,2.3796272931692006,27.789428944387772,0.5739029919575731
Iran,2028,2.4479856274737855,27.789428944387772,0.5739029919575731
Iraq,2024,3.482978723404255,41.614683074875224,1.038386811677353
Iraq,2025,3.482978723404255,41.614683074875224,1.038386811677353
Iraq,2026,3.482978723404255,41.614683074875224,1.038386811677353
Iraq,2027,3.482978723404255,41.614683074875224,1.038386811677353
Iraq,2028,3.482978723404255,41.614683074875224,1.038386811677353
Israel,2024,4.1020408163265305,20.302314474176764,0.7062433540468611
Israel,2025,4.1020408163265305,20.302314474176764,0.7062433540468611
Israel,2026,4.1020408163265305,20.302314474176764,0.7062433540468611
Israel,2027,4.1020408163265305,20.302314474176764,0.7062433540468611
Israel,2028,4.1020408163265305,20.302314474176764,0.7062433540468611
Japan,2024,0.5254677715939816,25.54054020481174,0.2292896943495851
