Country,2024_prediction,2025_prediction,2026_prediction,2027_prediction,2028_prediction
Lebanon,2.765134547055797,2.580679883199006,2.534380900327777,2.522759639200031,2.519842648332761
Lesotho,1.4302435110041598,1.184652291544097,1.1062962816395066,1.0812967547766714,1.073320642361981
Liberia,3.1344061223507365,2.9651076123582576,2.940517584875033,2.9369459677848853,2.9364272026616116
Libya,-6.146641965575512,3.0099980398560344,-0.5357086322003428,0.8372879906665183,0.3056253629425766
Lithuania,2.192450319796664,2.960120755167113,3.196561936225411,3.269385415578586,3.2918149226609192
Luxembourg,2.0077624937448992,2.274308254413025,2.3525739274494297,2.3755550304333495,2.3823029580223944
Macao SAR,-4.856195763379517,7.6879346834070095,5.219857553303539,5.705455558360976,5.609913397364624
Madagascar,2.531113909949258,2.719984403713537,2.6986096294689523,2.701028646674346,2.70075488264891
Malawi,3.9390668559654216,3.7011437809844847,3.7379241127738245,3.73223827163949,3.7331172411275864
Malaysia,4.8084294712320395,4.866803761490349,4.877851855401575,4.8799428509157154,4.880338599021704
Maldives,7.591042621579922,7.465496651249469,7.505803742590389,7.492862971906241,7.497017663806068
Mali,4.069053943915921,4.0122276564701504,4.008758898077798,4.008547160071933,4.008534235279238
Malta,4.111183585869225,4.113856561799786,4.113868251904839,4.113868303030835,4.113868303254431
Marshall Islands,1.6310154199728646,1.7445650643888782,1.7351467539600292,1.735927950341492,1.7358631544536285
Mauritania,3.310731177664529,3.252622176669685,3.2495222476830286,3.2493568764056397,3.2493480543779407
Mauritius,4.108865218637661,4.030073150490887,4.017432648863971,4.015404750813593,4.0150794179570255
Mexico,2.296194001885996,2.334333065763612,2.3372645566480887,2.3374898804482047,2.337507199558821
Micronesia Fed. States of,1.1334647092886292,0.7676067628557799,0.6872892095977712,0.6696569306647863,0.6657860799259463
Moldova,-0.7735222734812481,0.5693636554879571,-0.08083578061030783,0.2339782312000701,0.08155136564190532
Mongolia,4.555192976038452,4.591105386946717,4.614472513523577,4.6296768005833835,4.639569773270317
Montenegro,2.648579678427581,2.750231558436427,2.731492487159788,2.7349469514774216,2.7343101363681965
Morocco,2.56340836439614,2.8279767884457763,2.6676520243048083,2.764806588721137,2.7059322817012483
Mozambique,4.373444453416238,4.199003857299953,4.15043749835649,4.136916040200884,4.133151503706257
Myanmar,1.45085027968003,1.1575843627205864,1.0827421584983932,1.0636422385659616,1.0587678906600362
Namibia,2.5942407984313203,2.5402959782788113,2.526153020884436,2.5224450978012998,2.5214729748423546
Nauru,4.765940483971424,4.202798061966622,4.287007939634949,4.274415559413141,4.276298569388231
Nepal,4.422014647940081,4.415927005588785,4.417610402457005,4.417144897939426,4.417273622460647
Netherlands,1.7596610364571619,1.9973429698402994,2.0717086391922668,2.094976090358829,2.1022559856183745
New Zealand,2.2550206164362154,2.4957978996860715,2.545990683524041,2.5564539444903627,2.558635131140674
Nicaragua,2.785926688525391,2.6947373693804475,2.6558932375788773,2.639346710095549,2.6322983463129543
Niger,5.654437726328617,5.697149223348121,5.693054909072778,5.693447389097011,5.693409766052207
Nigeria,2.905122644718236,2.7908123101384263,2.7464994717407056,2.729321430454408,2.722662297049653
North Macedonia ,1.8686155047775124,2.005487081680697,2.0454640529353267,2.0571403868159828,2.060550769559192
Norway,2.0651565565344185,2.0491680430501655,2.041831438569938,2.0384649113845112,2.0369201224674094
Oman,2.168885513611192,2.383736563296768,2.482184845896668,2.5272954672366783,2.547965895444675
Pakistan,3.1030917296084057,3.5468018626053013,3.622434495863961,3.6353264602078967,3.6375239606450016
Palau,4.495989815426531,2.69040421576684,1.9149209950882922,1.5818577353528815,1.4388099787702016
Panama,4.6883802347856305,4.634982142591507,4.625832028997106,4.624264096972754,4.623995421528715
Papua New Guinea,3.4270901718636333,3.3745915638194885,3.3644926096506573,3.3625499128991856,3.3621762038393084
Paraguay,3.6784590261600933,3.4567182387252715,3.396868543606113,3.3807146097841314,3.3763545277919773
Peru,3.0166771483677097,3.18546117814445,3.2316572286760463,3.2443010498215696,3.247761653300013
Philippines,4.932585009604364,4.615312674145527,4.521008457179083,4.492978010324041,4.484646400390066
Poland,1.7118011761346277,2.398380313421658,2.732273583753408,2.8946506644397734,2.9736169649765567
Portugal,1.3401688150838287,1.4380451483572136,1.4662069791607868,1.474309946320313,1.4766414025827386
Puerto Rico,1.114292507132892,1.0536411980015927,1.0587911628445754,1.058353874049596,1.0583910046895215
Qatar,1.952516870443523,2.0014571347930965,1.9961046436791186,1.996690034083236,1.996626011197829
Romania,2.1858279626238537,2.0718868140655355,2.011269258693507,1.9790202594006814,1.9618635471412396
Russian Federation,0.5753125246030069,0.5540886780089529,0.550476032369816,0.5498611010256726,0.5497564296585412
Rwanda,6.285628759981846,6.28786819076714,6.287926758125154,6.287928289824838,6.287928329883054
Saint Kitts and Nevis,2.401975995586364,2.309821310293492,2.305773460505519,2.305595660669798,2.305587850898379
Saint Lucia,2.2209541484245308,2.161770128221846,2.1572739252829973,2.156932349283292,2.1569063997954325
Saint Vincent and the Grenadines,2.531075874984752,2.279841324304339,2.261645827031734,2.2603280300961583,2.260232589518888
Samoa,3.101364561732116,2.2565093471672184,1.880565488124601,1.713277907110329,1.6388382425474504
San Marino,1.4189027990092213,1.5307724690255562,1.5879431544905531,1.6171600751810349,1.632091301694954
Saudi Arabia,2.496277864405256,2.3748306628085527,2.3503998495153806,2.345485247694024,2.3444966063920485
Senegal,4.560824752735022,5.275673324140875,5.13900990339996,5.165136962074607,5.16014203957605
Serbia,2.664262612029485,2.7340864454230287,2.7414259638928007,2.742197455928543,2.742278551161652
Seychelles,3.64780516083738,3.5722327547269277,3.549586817227626,3.5428007624807027,3.540767261371302
Sierra Leone,2.4966281315133703,2.1745133830503276,2.0025499280128005,1.9107459047274884,1.8617356153637925
Singapore,3.5877103966239656,3.8165440442210024,3.8416264686593937,3.844375749730224,3.8446770980478475
Slovak Republic,2.5628232081358604,2.94817570913506,3.065766634824131,3.1016496919434133,3.112599463625884
Slovenia,2.516503118226165,2.6934887645219296,2.727666410371466,2.73426644546055,2.7355409762860177
Solomon Islands,2.312049902950521,2.2127607687585376,2.1603089088055287,2.132599959231949,2.117962043871864
Somalia,2.2519137051455287,2.315387788883136,2.308036830933351,2.308888148189113,2.308789556811648
South Africa,1.5756198250153766,1.9508414633477704,2.046253083255614,2.070514416514264,2.0766836052572684
